ligand,receptor,sign,category,context_dependent,notes
CXCL11,CXCR3,1,chemokine,FALSE,CXCL11/CXCR3 effector T recruitment
CCL5,CCR5,1,chemokine,FALSE,CCL5/CCR5 effector recruitment
CCL3,CCR5,1,chemokine,FALSE,CCL3/CCR5 recruitment
CCL4,CCR5,1,chemokine,FALSE,CCL4/CCR5 recruitment
CXCL16,CXCR6,1,chemokine,FALSE,CXCL16/CXCR6 tissue-resident T
XCL1,XCR1,1,chemokine,FALSE,XCL1/XCR1 cDC1 recruitment
CCL19,CCR7,1,chemokine,FALSE,CCL19/CCR7 naive/DC homing
CCL21,CCR7,1,chemokine,FALSE,CCL21/CCR7 homing
CXCL13,CXCR5,1,chemokine,FALSE,CXCL13/CXCR5 tertiary lymphoid structures
EGF,EGFR,1,growth_survival,FALSE,EGF/EGFR proliferation
TGFA,EGFR,1,growth_survival,FALSE,TGFa/EGFR proliferation
HBEGF,EGFR,1,growth_survival,FALSE,HB-EGF/EGFR
AREG,EGFR,1,growth_survival,FALSE,Amphiregulin/EGFR
IGF1,IGF1R,1,growth_survival,FALSE,IGF1/IGF1R survival/proliferation
IGF2,IGF1R,1,growth_survival,FALSE,IGF2/IGF1R
PDGFA,PDGFRA,1,growth_survival,FALSE,PDGF/PDGFRA stroma proliferation
PDGFB,PDGFRB,1,growth_survival,FALSE,PDGF/PDGFRB
FGF2,FGFR1,1,growth_survival,FALSE,FGF2/FGFR1 proliferation
HGF,MET,1,growth_survival,FALSE,HGF/MET survival/invasion
VEGFA,KDR,1,growth_survival,FALSE,VEGF/VEGFR2 angiogenesis (note VEGFA/FLT1 is -)
TNFSF13B,TNFRSF13B,1,growth_survival,TRUE,BAFF/TACI B-cell survival
MICA,KLRK1,1,nk_activating,FALSE,MICA/NKG2D NK activation
MICB,KLRK1,1,nk_activating,FALSE,MICB/NKG2D NK activation
ULBP1,KLRK1,1,nk_activating,FALSE,ULBP1/NKG2D NK activation
NCR3LG1,NCR3,1,nk_activating,FALSE,B7-H6/NKp30 NK activation
