ligand,receptor,sign,category,context_dependent,db_sign,agreement,confidence,source,notes,db_stim,db_inhib
IL2,IL2RB,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL2/IL2RB,1,0
IL12A,IL12RB1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL12/IL12RB1 Th1 activation,1,0
IL12B,IL12RB2,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL12/IL12RB2,1,0
IL15,IL2RB,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL15/IL2RB NK/CD8 activation,1,0
IL15,IL15RA,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL15/IL15RA,1,0
IL18,IL18R1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL18/IL18R1 activation,1,0
IL21,IL21R,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,IL21/IL21R,1,0
IFNG,IFNGR1,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IFNg activates effectors (context: induces PD-L1),1,0
IFNG,IFNGR2,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IFNg activates effectors,1,0
IFNA1,IFNAR1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,type-I IFN activation,1,0
IFNB1,IFNAR1,1,activating_cytokine,FALSE,1,match,high,curated+omnipath,type-I IFN activation,1,0
IL1B,IL1R1,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,IL1b pro-inflammatory (context),1,0
TNF,TNFRSF1A,1,activating_cytokine,TRUE,1,match,high,curated+omnipath,TNF/TNFR1 NFkB activation (context vs death),1,0
CXCL9,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL9/CXCR3 effector T recruitment,1,0
CXCL10,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL10/CXCR3 effector T recruitment,1,0
CXCL11,CXCR3,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL11/CXCR3 effector T recruitment,1,0
CCL5,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL5/CCR5 effector recruitment,1,0
CCL3,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL3/CCR5 recruitment,1,0
CCL4,CCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL4/CCR5 recruitment,1,0
CXCL16,CXCR6,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL16/CXCR6 tissue-resident T,1,0
XCL1,XCR1,1,chemokine,FALSE,1,match,high,curated+omnipath,XCL1/XCR1 cDC1 recruitment,1,0
CCL19,CCR7,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL19/CCR7 naive/DC homing,1,0
CCL21,CCR7,1,chemokine,FALSE,1,match,high,curated+omnipath,CCL21/CCR7 homing,1,0
CXCL13,CXCR5,1,chemokine,FALSE,1,match,high,curated+omnipath,CXCL13/CXCR5 tertiary lymphoid structures,1,0
EGF,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,EGF/EGFR proliferation,1,0
TGFA,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,TGFa/EGFR proliferation,1,0
HBEGF,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,HB-EGF/EGFR,1,0
AREG,EGFR,1,growth_survival,FALSE,1,match,high,curated+omnipath,Amphiregulin/EGFR,1,0
IGF1,IGF1R,1,growth_survival,FALSE,1,match,high,curated+omnipath,IGF1/IGF1R survival/proliferation,1,0
IGF2,IGF1R,1,growth_survival,FALSE,1,match,high,curated+omnipath,IGF2/IGF1R,1,0
PDGFA,PDGFRA,1,growth_survival,FALSE,1,match,high,curated+omnipath,PDGF/PDGFRA stroma proliferation,1,0
PDGFB,PDGFRB,1,growth_survival,FALSE,1,match,high,curated+omnipath,PDGF/PDGFRB,1,0
FGF2,FGFR1,1,growth_survival,FALSE,1,match,high,curated+omnipath,FGF2/FGFR1 proliferation,1,0
HGF,MET,1,growth_survival,FALSE,1,match,high,curated+omnipath,HGF/MET survival/invasion,1,0
VEGFA,KDR,1,growth_survival,FALSE,0,db_ambiguous,curated_only,curated+omnipath,VEGF/VEGFR2 angiogenesis (note VEGFA/FLT1 is -),1,1
TNFSF13B,TNFRSF13B,1,growth_survival,TRUE,1,match,high,curated+omnipath,BAFF/TACI B-cell survival,1,0
MICA,KLRK1,1,nk_activating,FALSE,0,db_ambiguous,curated_only,curated+omnipath,MICA/NKG2D NK activation,0,0
MICB,KLRK1,1,nk_activating,FALSE,1,match,high,curated+omnipath,MICB/NKG2D NK activation,1,0
ULBP1,KLRK1,1,nk_activating,FALSE,1,match,high,curated+omnipath,ULBP1/NKG2D NK activation,1,0
NCR3LG1,NCR3,1,nk_activating,FALSE,1,match,high,curated+omnipath,B7-H6/NKp30 NK activation,1,0
